…分之… | Fraction
三大纪律 | San Da Jili
三天 | Three days
三天三夜 | Three days and three nights
三夫 | Three laborers
三头 | Triceps
三如图 | Three figures
三妹 | Third sister
三姐 | Three Sisters
三子 | Three sons
三字 | Three characters
三学 | Three studies
三官 | Three Offices
三宝 | Three Treasures
三害 | Three evils
三家 | Three companies
三家村 | Sanjia Village
三寸 | Three inches
三对 | Three pairs
三封 | Three (letters
三小明 | Three Xiao Ming
三尺 | Three feet
三局两胜 | Best of three sets
三层 | Three stories
三居室 | Three-room apartment
三届 | Third
三山 | Three mountains
三岁 | Three years old
三岔口 | Three Forked Mouth
三岛 | Three Islands
三峡 | Three Gorges
三峡大坝 | Three Gorges Dam
三峡工程 | Three Gorges Project
三希堂 | San Xi Tang
三幅 | Three
三幕 | Three Acts
三年 | Three Years
三座 | Three Peaks
三庭 | Three courtyards
三弟 | Third younger brother
三张 | Three sheets
三弦 | Pipa
三往 | Going three times
三态 | Three states
三态变化 | Three states of matter
三思 | To think thrice
三愿 | Three Wishes
三户 | Three households
三房 | Three rooms
三扇 | Three panels
三打 | Three Strikes
三报 | Third notification
三指 | Three fingers
三教九流 | All religions and schools of thought
三斗坪 | Sandtouping
三方 | Three-way calling
三日 | Three days
三时 | Three times
三时许 | Three o'clock
三明 | Sanming
三明市 | Sanming City
三明治 | Sandwich
三易 | Three Changes
三星 | Samsung
三春有 | Has spring
三昧 | Samadhi
三是 | Third point
三更半夜 | Three AM in the morning
三月 | March
三期 | Three Stages
三本 | Three books
三朵 | Three flowers
三权 | Three powers
三权分立 | Separation of powers
三条 | Three strings
三杯 | Three cups
三杰 | Three stars
三极管 | Three-terminal tube
三枝 | Three branches
三某 | You (formal
三校 | Three schools
三样 | Three things
三根 | Three roots
三桥 | Three Bridges
三棱锥 | Trilateral Pyramid
三棱镜 | Trilateral prism
三棵 | Three trees
三楼 | Third floor
三楼代 | Third floor resident
三次 | Three times
三次方 | Cube
三步 | Three Steps
三步走 | Three-step approach
三段 | Three sections
三民 | The three peoples (referring to the Han
三民主义 | Three Principles of the People
三氯化铁 | Iron chloride
三江侗族自治县 | Sanjiang Dongzu autonomous county
三江平原 | Three Rivers Plain
三河 | Three Rivers
三河坝 | Sanggou Dam
三洲 | Three Continents
三流 | Low-level
三湾 | Sancuan
三点 | Three points
三点一线 | Three points
三点钟 | 3 o'clock
三熟 | Three-Year Maturity
三环路 | Third Ring Road
三球 | Three balls
三用 | Three uses
三甲 | Top Three
三男邺 | Three men of Ye
三画 | Three strokes
三界 | Three Realms
三番五次 | Repeatedly
三白 | Three Whites
三百 | Three hundred
三百五十斤 | Three hundred fifty kilograms
三百余 | More than three hundred
三百年 | Three hundred years
三百斤 | Three hundred kilograms
三百米 | 300 meters
三百首 | Three Hundred Classics
三皇 | The Three Emperors
三皇五帝 | The Three Sovereigns and Five Emperors
三省 | Three reflections
三种 | Three kinds
三秦 | Three Qin
三章 | Three chapters
三等 | Third Class
三等分 | Divided into three equal parts
三等奖 | Third prize
三筐 | Three baskets
三篇 | Three chapters
三类 | Three categories
三级 | Level Three
三线 | Tertiary pipeline
三组 | Three groups
三结合 | Three combinations
三维 | Three-dimensional
三维空间 | Three-Dimensional Space
三老 | The three elderly
三者 | The three
三联书店 | San Lian Bookstore
三聚氰胺 | Melamine
三股 | Three-stranded
三脚 | Three-legged
三脚架 | Tripod
三艘 | Three ships
三色 | Three colors
三节 | Three Sections
三蒂 | Three buds
三行 | Three lines
三要 | Three essentials
三要素 | Three Elements
三见 | Goodbye
三角 | Triangle
三角函数 | Trigonometric function
三角尺 | Triangular prism
三角形 | Triangle
三角洲 | Delta
三角铁 | Triangle
三言两语 | Three words and two phrases
三言到 | Three Characters Complete
三话 | To talk too much
三调 | Three tunes
三豆 | Three beans
三趟 | Three times
三足 | Three-legged
三跌 | Three falls
三路 | Three ways
三转 | Three turns
三轮 | Three-wheeled vehicle
三轮车 | Three-wheeler
三辆 | Three vehicles
三辩 | Three arguments
三边 | Three sides
三进 | Three-entry courtyard
三远法 | San Yuan Fa
三连音 | Triplet
三通 | Three connections (trade
三遍 | Three times
三道 | Three roads
三部曲 | Three-part work
三里 | Three miles
三里河 | Sanlihe
三重 | Threefold
三铁 | Three-iron
三门 | Three gates
三门峡 | Sanmenxia
三间 | Three Rooms
三闾大夫 | Grand Councilor
三面 | Three sides
三音石 | Three-tone stone
三项 | Three items
三项式 | Trichotomy
三顾 | To visit someone three times
三顾茅庐 | Invite sages (literally
三顿 | Three meals
三颗 | Three stars
三餐 | Three Meals
三首 | Three Pieces
三鼓 | Three drums
上一年 | Last year
上万 | Over ten thousand
上上下下 | Up and down
上下 | Up and down
上下一心 | Unity of Government and People
上下册 | Volumes 1 and 2
上下同心 | Work together
上下左右 | Up and down
上下文 | Context
上下游 | Upstream and downstream
上下肢 | Upper limbs
上下颠倒 | Upside down
上不分 | No distinction between upper and lower
上不来 | Unable to reach
上不涂 | Not to paint on
上不起 | Unable to attend
上个月 | Last month
上中下 | Top
上中下游 | Upper
上举 | Raise
上书 | Submit
上交 | hand in to
上人 | 
上令 | Imperial edict
上以 | With
上任 | Take office
上众 | The upper ranks
上会 | Attend a Meeting
上体 | Upper body
上作 | Upper part
上例 | Previous example
上供 | Offerings to the gods
上元节 | Lantern Festival
上兰竹 | Upper Bamboo
上冈子 | Up the hill
上册 | 
上冰 | Float on ice
上凉 | Upper cool
上分 | Ascending division
上切 | Top Cut
上刻 | Carved on
上前 | To step forward
上加 | Add to
上动 | Upward movement
上北下 | Upper North
上千 | Over a thousand
上千人 | Thousands of people
上千亿 | Trillion
上千年 | Over a thousand years
上升 | 
上升时 | During ascent
上午 | Morning
上半 | First half
上半叶 | Upper leaf
上半年 | First half
上卖 | Sold out
上去 | 
上取 | To collect
上古 | Ancient times
上古时代 | Ancient times
上句 | Previous sentence
上台 | Take the stage
上司 | Superior
上吊 | Hanging
上同 | Same as above
上后 | After rising
上吟 | To recite poetry aloud
上否 | Is it okay?
上周 | Last week
上呼吸道 | Upper respiratory tract
上咚 | To leave
上品 | Fine quality
上唇 | Upper lip
上图 | See Diagram
上地 | Above ground
上场 | Enter the stage
上坡 | Ascend
上城 | Upper city
上堂 | To teach
上处 | Above
上大 | Upper
上大骂 | To scold severely
上天 | To ascend to heaven
上太多 | Too much
上太长 | Too long (specifically
上头 | Higher authorities
上套 | Top-fitting
上字 | Upper character
上学 | Go to school
上官大夫 | Upper Official Doctor
上将 | Major general
上尉 | Lieutenant
上小明 | Xiaoming
上层 | Upper Class
上层建筑 | Upper structure
上屋 | Upper House
上山 | Going up the mountain
上岁 | Last year
上岗 | Take up a post
上岸 | To reach the shore
上岸时 | When reaching the shore
上工 | To work
上市 | Go public
上市公司 | Listed company
上帝 | God
上帝保佑 | God bless
上年 | Last year
上庆忌 | Shang Qing Ji
上床 | Go to bed
上底 | Top base
上庭 | Upper face
上式 | Upright
上弦月 | First quarter moon
上当 | Be fooled
上当受骗 | Being deceived
上往 | Upward
上心 | To be concerned
上感 | Feeling of oppression
上成 | Completed
上房 | Upper hall
上扎 | Upper stitching
上托纸 | Underlay Paper
上扣 | Upper fastening
上报 | Report to higher authorities
上拉下 | Pull up and down
上排 | Upper Row
上推 | Push up
上描 | Drawing on the upper part
上放 | To place upwards
上放上 | Place on top
上放子 | 
上文 | Previous text
上文写 | As written above
上方 | Above
上旬 | First ten days of a month
上时 | At that time
上映 | Show
上望 | Looking up
上期 | Last period
上本 | Up to date
上来 | 
上杭县 | Shanghang County
上板 | Top board
上林 | Upper garden
上枝 | To grow up to the branches
上查尔 | 
上标 | Superscript
上校 | Captain
上样 | Sample
上楼 | Go upstairs
上楼来 | Come upstairs
上次 | Last time
上步 | Step up
上水 | Water supply
上泛 | Spread upwards
上活 | To come to life
上流 | Upper class
上流社会 | Upper class society
上浆 | To apply glue
上海 | Shanghai
上海交通大学 | Shanghai Jiao Tong University
上海人民出版社 | Shanghai People's Publishing House
上海南京路 | Nanjing Road
上海古籍出版社 | Shanghai Ancient Books Publishing House
上海市 | Shanghai
上海市政府 | Shanghai Municipal Government
上海戏剧学院 | Shanghai Theatrical Institute
上海文艺出版社 | Shanghai Literature and Art Publishing House
上海浦东 | Pudong
上海浦东发展银行 | Shanghai Pudong Development Bank
上海港 | Shanghai Port
上海虹桥机场 | Hongqiao Airport
上海证券交易所 | Shanghai Stock Exchange
上海辞书出版社 | Shanghai Dictionaries Publishing House
上海音乐学院 | Shanghai Conservatory of Music
上涂 | Upper coating
上涨 | Rise
上涨率 | Rising rate
上游 | Upper reaches
上溢 | Overflow
上溯 | Tracing back
上滴 | Upper drip
上演 | Perform
上澈 | Clear and bright
上火 | Get angry
上灯 | Light the lamp
上点 | Top point
上烧 | Top-burning
上爬 | To climb
上片 | First part
上玉 | Upper Jade
上现 | Appear
上班 | Go to work
上琳琳 | Go to Lin Lin
上甘岭 | Shangganling
上甘岭战役 | Shangganling Battle
上生 | To attend school
上用 | Used for
上用刻 | Previously carved
上画 | Upper Painting
上界 | Upper bound
上留 | Leave Behind
上略 | Superficial
上瘾 | Be addicted
上百 | Hundreds
上百万 | Over a million
上百年 | Over a hundred years
上皮 | Epithelial
上皮组织 | Epithelial Tissue
上皮细胞 | Epithelial cells
上盖 | Lid
上盘 | advance
上石 | Upper stone
上福 | Upper blessing
上离 | Above
上积 | Accumulated on top
上称 | High praise
上穷 | Shang qiong
上空 | Sky above
上端 | Top end
上篮 | Jump Shot
上篮得分 | Jump shot score
上米长 | Meter length
上糊以 | Laminated with
上系 | To attach
上级 | Superior
上线 | Online
上缴 | To submit
上缴国库 | Pay into the treasury
上网 | Surf the Internet
上罩 | Upper cover
上者 | Above
上联 | Upper couplet
上肢 | Upper Limb
上能 | Above
上臂 | Upper arm
上舰 | Enlist
上船 | Board the Ship
上节 | Previous section
上苍 | Heaven
上落 | Fall up
上蔡 | Shangcai
上虞 | Shangyu
上行 | Ascending
上街 | On the street
上衣 | 
上表 | Present a memorial
上裂 | Upper split
上装 | Upper garment
上要 | Above
上见 | Visit
上规模 | Large-scale
上计 | The highest strategy
上记 | Upper records
上诉 | Appeal
上试 | Practice test
上该 | Previously
上读 | Attend class
上课 | Have class
上课时 | During class
上调 | Promote
上谱例 | Score
上账 | To be recorded
上起 | Take off
上越 | Above
上路 | To set off
上身 | Upper body
上车 | Get on (bus
上车时 | When getting into the car
上边 | Above
上过 | Have been through
上迎 | Upward facing
上进 | make forward progress
上述 | Above-mentioned
上述情况 | Above situation
上逆袭 | Counterattack
上造 | 
上部 | Upper part
上野 | Ueno
上量 | Upper Quantity
上针 | Emergence
上钩 | Hooked
上铺 | Upper bunk
上长 | Supervisor
上门 | Visit
上门来 | To come to someone's door
上阳宫 | Shang Yang Palace
上限 | Upper limit
上院 | Upper house
上集 | First volume
上面 | 
上音 | Upper tone
上顶 | Top floor
上题 | Assigned topic
上颚 | Jaws
上风 | Upwind
上饶 | Shangrao
上马 | To mount
上鱼 | Upstream fish
下一人 | Next person
下一代 | Next generation
下一场 | The next round
下一球 | Next ball
下一白 | White
下万 | Ten thousand
下不购 | Do Not Buy
下个月 | Next month
下举 | Lower
下之莫扎 | Mozart
下乡 | Go to the countryside
下买 | Downstream Purchase
下于 | To descend upon
下令 | Issue an order
下以 | Consequently
下会 | Meeting
下体 | Lower Body
下作 | Bad
下关 | Xia Guan
下冈子 | To flee
下册 | Back issue
下决心 | Make up one's mind
下凡 | Descend to earth
下列 | Following
下则 | If so
下到 | Descend to
下前 | Lower forward
下功夫 | Put in effort
下午 | Afternoon
下半叶 | Second half
下半夜 | Late at night
下半年 | Second half of the year
下半身 | Lower Body
下卷 | Volume two
下压 | Press Down
下原 | Lower Yang River
下厥 | To yield to the king
下去 | 
下口 | Outlet
下句 | Lower Line
下台 | Step down
下台阶 | Descend the steps
下同 | Same Below
下名 | Lower rank
下向 | Downward
下周 | Next week
下咽 | Throat
下唐 | Lower Tang Dynasty
下唱 | Vocalization
下回 | Next time
下图 | Below picture
下场 | Outcome
下坠 | Fall
下垂 | Droop
下城 | Lower City
下大 | Broaden
下大惑 | To be greatly confused
